,Shot Number,Beam,Latitude,Longitude,Tandem-X DEM,Elevation (m),Canopy Elevation (m),Canopy Height (rh100),RH 98,RH 25,Quality Flag,Degrade Flag,Sensitivity
1000,3.836000840003778e+16,BEAM0000,-8.354443524311579,115.30746640818855,858.2481689453125,866.5478515625,873.3645629882812,6.809999942779541,5.429999828338623,-2.5799999237060547,1.0,0.0,0.9500856399536133
1006,3.8360009600037784e+16,BEAM0000,-8.35192536477254,115.30928866098277,841.3275756835938,827.6264038085938,848.7132568359375,21.079999923706055,19.700000762939453,2.990000009536743,1.0,0.0,0.9514820575714111
1008,3.8360010000037784e+16,BEAM0000,-8.351093531033046,115.30990037940286,859.2181396484375,855.4762573242188,871.2445678710938,15.760000228881836,14.34000015258789,0.6299999952316284,1.0,0.0,0.9526911377906799
1049,3.836001840003782e+16,BEAM0000,-8.333549962806222,115.32270804916284,1003.1626586914062,999.9734497070312,1010.7603759765625,10.779999732971191,8.829999923706055,-1.159999966621399,1.0,0.0,0.9518553614616394
1181,3.836002120003796e+16,BEAM0000,-8.277063274978218,115.3638134836089,1263.7093505859375,1262.0889892578125,1277.3331298828125,15.239999771118164,13.220000267028809,-1.0099999904632568,1.0,0.0,0.954430103302002
1188,3.836002260003797e+16,BEAM0000,-8.274113801763015,115.36593540378546,1197.3907470703125,1182.95166015625,1199.169677734375,16.209999084472656,14.859999656677246,2.950000047683716,1.0,0.0,0.9553859829902649
1326,3.8360002200038104e+16,BEAM0000,-8.21548113731893,115.40848212946301,1175.29541015625,1146.9249267578125,1174.49169921875,27.559999465942383,26.329999923706055,6.659999847412109,1.0,0.0,0.9536060094833374
1355,3.8360008000038136e+16,BEAM0000,-8.203326247324704,115.4172860913318,1073.1021728515625,1059.5802001953125,1079.5435791015625,19.959999084472656,18.350000381469727,2.799999952316284,1.0,0.0,0.9522477984428406
1356,3.8360008200038136e+16,BEAM0000,-8.202906451920182,115.41758915497688,1073.1021728515625,1052.079833984375,1071.631103515625,19.549999237060547,18.049999237060547,-5.760000228881836,1.0,0.0,0.9500114917755127
1359,3.8360008800038136e+16,BEAM0000,-8.201622592740977,115.41848467472666,946.36376953125,896.134521484375,934.1883544921875,38.04999923706055,36.630001068115234,15.6899995803833,1.0,0.0,0.9559496641159058
1360,3.8360009000038136e+16,BEAM0000,-8.201203725023017,115.41878824771645,898.0714111328125,893.0538940429688,912.5302734375,19.469999313354492,17.639999389648438,1.340000033378601,1.0,0.0,0.9541799426078796
1371,3.836001120003815e+16,BEAM0000,-8.196575043050226,115.42211576423807,750.5635375976562,735.208984375,761.1273803710938,25.90999984741211,23.889999389648438,0.4399999976158142,1.0,0.0,0.958073616027832
1375,3.836001200003815e+16,BEAM0000,-8.194884008715746,115.42332132815315,661.0655517578125,634.0218505859375,659.565673828125,25.540000915527344,24.079999923706055,6.03000020980835,1.0,0.0,0.9589547514915466
1380,3.836001300003816e+16,BEAM0000,-8.192782521776719,115.42483505197332,566.4907836914062,576.7894897460938,591.4716186523438,14.680000305175781,13.369999885559082,3.9700000286102295,1.0,0.0,0.9507855176925659
